DivYld,EPS,PE,_1YTargetEst,_52wkrange,avg_vol,beta,mktcap,name_tk,px
0.04 (0.35%),0.58,19.9,12.24,5.48 - 13.26,"92,750,445",1.08,100.388,General Electric Company (GE),11.46
2.04 (3.51%),3.9,14.58,63.39,46.59 - 66.14,"4,123,045",0.57,34.797,"General Mills, Inc. (GIS)",56.91
N/A (N/A),4.33,12.36,61.41,14.33 - 57.05,"21,140,630",1.36,76.575,General Motors Company (GM),53.5
3.16 (3.14%),-1.33,N/A,101.88,49.68 - 108.55,"813,282",1.11,14.505,Genuine Parts Company (GPC),100.53
N/A (N/A),0.1,682.86,74.22,56.56 - 85.97,"9,218,912",0.43,83.886,"Gilead Sciences, Inc. (GILD)",66.92
0.75 (0.81%),6.83,13.57,100.14,56.74 - 111.43,"428,019",1.13,9.703,Globe Life Inc. (GL),92.71
0.78 (0.39%),1.95,102.38,222.59,105.54 - 215.70,"1,757,730",1.18,59.559,Global Payments Inc. (GPN),199.64
5.00 (1.65%),24.74,12.22,334.27,130.85 - 309.41,"3,180,040",1.47,104.019,"The Goldman Sachs Group, Inc. (GS)",302.32
6.12 (1.64%),12.83,29.16,400.73,200.61 - 427.90,"329,330",1.2,19.652,"W.W. Grainger, Inc. (GWW)",374.15
0.18 (0.91%),-3.34,N/A,21.97,4.25 - 22.58,"11,892,595",2.9,17.266,Halliburton Company (HAL),19.43
0.60 (3.25%),-0.21,N/A,19.77,6.96 - 20.00,"5,940,183",1.45,6.434,Hanesbrands Inc. (HBI),18.47
N/A (N/A),4.76,10.58,58,19.04 - 59.91,"2,231,098",1.04,18.054,"The Hartford Financial Services Group, Inc. (HIG)",50.36
2.72 (3.00%),1.62,55.96,106,41.33 - 101.24,"864,675",0.98,12.422,"Hasbro, Inc. (HAS)",90.65
1.92 (1.09%),10.93,16.07,191.9,58.38 - 181.01,"1,515,700",1.65,59.402,"HCA Healthcare, Inc. (HCA)",175.55
1.20 (3.92%),N/A,N/A,31.24,18.63 - 37.64,"3,647,982",0.66,16.798,"Healthpeak Properties, Inc. (PEAK)",31.2
N/A (N/A),4.09,17.03,75.2,41.85 - 74.89,"853,596",0.84,9.94,"Henry Schein, Inc. (HSIC)",69.62
N/A (N/A),6.11,24.62,160.94,109.88 - 161.83,"873,783",0.32,31.309,The Hershey Company (HSY),150.42
1.00 (1.73%),-10.15,N/A,68.57,26.06 - 64.98,"2,180,632",2.24,17.786,Hess Corporation (HES),57.92
0.48 (3.38%),-0.25,N/A,12.98,7.43 - 15.18,"10,527,945",1.37,18.355,Hewlett Packard Enterprise Company (HPE),14.19
N/A (N/A),-1.14,N/A,107.63,44.30 - 116.73,"2,752,730",1.29,30.38,Hilton Worldwide Holdings Inc. (HLT),109.5
1.40 (4.47%),-2.62,N/A,30.23,16.81 - 45.49,"3,122,950",1.78,5.073,HollyFrontier Corporation (HFC),31.31
N/A (N/A),5.26,15.2,88.54,26.49 - 85.00,"1,982,262",1.22,20.618,"Hologic, Inc. (HOLX)",80.02
6.00 (2.15%),11.56,23.97,306.36,140.63 - 292.95,"4,130,072",1.02,298.283,"The Home Depot, Inc. (HD)",277.06
3.72 (1.84%),6.72,30.09,217.86,101.08 - 216.70,"3,138,774",1.2,141.867,Honeywell International Inc. (HON),202.18
0.98 (2.03%),1.66,29.02,46,39.01 - 52.97,"2,479,727",-0.05,26.013,Hormel Foods Corporation (HRL),48.18
N/A (N/A),-0.83,N/A,15.5,7.86 - 17.40,"9,442,027",1.41,10.298,"Host Hotels & Resorts, Inc. (HST)",14.6
N/A (N/A),N/A,N/A,33.5,9.87 - 34.27,"4,065,087",1.74,12.446,Howmet Aerospace Inc. (HWM),28.75
0.78 (2.83%),2,13.69,24.38,12.54 - 27.55,"9,032,738",1.03,35.31,HP Inc. (HPQ),27.38
2.50 (0.66%),25.31,15.06,477.64,208.25 - 474.70,"963,095",0.85,49.121,Humana Inc. (HUM),381.19
0.60 (4.19%),0.69,20.74,15.66,6.82 - 15.12,"12,517,933",1.4,14.556,Huntington Bancshares Incorporated (HBAN),14.31
4.56 (2.67%),14.58,11.7,181.58,136.44 - 270.08,"385,956",0.95,6.905,"Huntington Ingalls Industries, Inc. (HII)",170.53
2.00 (1.00%),4.94,40.08,210.77,104.56 - 211.71,"390,538",1.09,14.99,IDEX Corporation (IEX),198
N/A (N/A),6.71,78.76,539,168.65 - 529.41,"413,851",0.89,45.078,"IDEXX Laboratories, Inc. (IDXX)",528.47
0.80 (0.86%),2.17,42.94,105,44.81 - 101.45,"3,332,440",1.01,36.954,IHS Markit Ltd. (INFO),93.18
4.56 (2.27%),6.63,30.31,216.88,115.94 - 224.69,"1,068,922",1.11,63.602,Illinois Tool Works Inc. (ITW),200.94
N/A (N/A),4.31,104.59,334.44,196.78 - 456.66,"1,136,730",1.02,65.878,"Illumina, Inc. (ILMN)",451.22
N/A (N/A),-1.36,N/A,105.38,62.48 - 110.37,"1,173,909",0.79,18.685,Incyte Corporation (INCY),84.99
N/A (N/A),-0.49,N/A,49.21,17.01 - 47.78,"2,004,762",1.55,18.389,Ingersoll Rand Inc. (IR),44.03
1.39 (2.36%),4.94,12.28,62.05,43.61 - 68.09,"40,976,891",0.67,246.462,Intel Corporation (INTC),60.66
N/A (N/A),3.77,29.52,131.44,63.51 - 119.02,"2,496,756",0.71,62.518,"Intercontinental Exchange, Inc. (ICE)",111.3
6.52 (5.33%),6.23,19.41,137,90.56 - 155.60,"6,289,708",1.25,107.738,International Business Machines Corporation (IBM),120.91
2.05 (4.26%),1.22,39.48,52.86,26.38 - 53.39,"2,791,532",1.08,18.935,International Paper Company (IP),48.17
1.08 (4.41%),1.45,16.91,26.95,11.63 - 26.65,"3,730,409",1.01,9.548,"The Interpublic Group of Companies, Inc. (IPG)",24.48
3.08 (2.27%),3.21,42.61,140.87,92.14 - 143.09,"4,311,106",N/A,34.012,International Flavors & Fragrances Inc. (IFF),136.77
2.36 (0.58%),7.45,54.9,418.22,187.68 - 409.30,"1,335,837",1.01,112.035,Intuit Inc. (INTU),408.82
N/A (N/A),8.82,90.57,780.93,360.50 - 826.81,"578,482",1.01,94.037,"Intuitive Surgical, Inc. (ISRG)",798.83
0.62 (2.73%),1.13,19.99,22.75,6.38 - 22.89,"5,537,248",1.31,10.376,Invesco Ltd. (IVZ),22.59
N/A (N/A),1.97,126.9,242.48,98.04 - 262.55,"260,283",1.47,13.311,IPG Photonics Corporation (IPGP),249.73
N/A (N/A),1.43,134.86,218.18,81.79 - 196.96,"984,612",1.39,36.873,IQVIA Holdings Inc. (IQV),192.85
2.47 (7.44%),0.46,72.26,30.13,21.00 - 41.32,"4,306,822",0.84,9.579,Iron Mountain Incorporated (IRM),33.24
1.72 (1.16%),3.89,38.22,171.3,123.64 - 200.98,"546,567",0.57,11.308,"Jack Henry & Associates, Inc. (JKHY)",148.64
0.84 (0.73%),N/A,N/A,127.57,59.29 - 116.73,"709,003",0.9,14.96,Jacobs Engineering Group Inc. (J),115
1.12 (0.76%),4.74,31.08,153.95,75.29 - 156.74,"694,261",1.03,15.565,"J.B. Hunt Transport Services, Inc. (JBHT)",147.32
3.60 (3.16%),7.73,14.75,117.21,91.88 - 131.69,"1,049,562",0.29,12.718,The J. M. Smucker Company (SJM),113.97
4.04 (2.42%),5.51,30.14,185.44,109.16 - 173.65,"8,248,020",0.72,437.16,Johnson & Johnson (JNJ),166.06
1.04 (2.02%),1.24,42.58,55.13,22.78 - 52.93,"5,118,616",1.1,37.995,Johnson Controls International plc (JCI),52.89
3.60 (2.58%),8.88,15.68,147.08,76.91 - 142.75,"15,078,383",1.19,424.69,JPMorgan Chase & Co. (JPM),139.27
0.80 (3.11%),0.77,33.45,25.16,15.20 - 27.83,"4,233,733",0.83,8.494,"Juniper Networks, Inc. (JNPR)",25.76
N/A (N/A),6.54,32.01,238.39,92.86 - 223.59,"848,135",1.01,19.02,Kansas City Southern (KSU),209.36
2.28 (3.92%),3.45,16.51,66.28,52.66 - 72.88,"2,565,675",0.64,19.592,Kellogg Company (K),57
0.74 (3.93%),1.27,14.78,19.63,7.45 - 20.12,"8,811,440",1.53,18.374,KeyCorp (KEY),18.83
N/A (N/A),3.31,45.42,145.62,77.93 - 153.21,"1,445,272",0.96,27.978,"Keysight Technologies, Inc. (KEYS)",150.35
4.56 (3.45%),6.87,19.23,148.28,110.66 - 160.16,"2,245,946",0.54,44.739,Kimberly-Clark Corporation (KMB),132.09
0.64 (3.57%),2.02,8.89,16.98,7.45 - 19.32,"5,138,066",1.5,7.763,Kimco Realty Corporation (KIM),17.95
1.05 (7.15%),0.05,312.55,16.83,9.42 - 22.58,"19,278,975",1.07,33.265,"Kinder Morgan, Inc. (KMI)",14.69
3.60 (1.11%),8.74,37.11,320.12,110.19 - 326.47,"987,712",1.26,49.994,KLA Corporation (KLAC),324.48
1.60 (4.72%),-0.4,N/A,37.06,19.99 - 36.37,"6,113,975",1.09,43.452,The Kraft Heinz Company (KHC),35.54
0.72 (2.16%),3.74,8.94,34.96,27.06 - 42.99,"12,756,077",0.31,25.429,The Kroger Co. (KR),33.4
N/A (N/A),-0.76,N/A,50.64,8.00 - 51.04,"4,623,785",1.7,13.419,"L Brands, Inc. (LB)",48.25
4.08 (2.18%),7.35,25.51,225.11,142.01 - 230.98,"1,363,911",0.75,39.396,"L3Harris Technologies, Inc. (LHX)",187.5
N/A (N/A),8.62,27.51,261.53,98.02 - 239.49,"683,064",1.04,23.104,Laboratory Corporation of America Holdings (LH),237.21
5.20 (0.91%),20.14,28.42,585.43,181.38 - 585.42,"1,458,880",1.31,81.773,Lam Research Corporation (LRCX),572.21
0.94 (1.22%),2.02,38.25,81.83,39.06 - 96.32,"945,664",0.79,11.307,"Lamb Weston Holdings, Inc. (LW)",77.26
N/A (N/A),-2.21,N/A,61.77,33.30 - 71.38,"5,741,077",1.47,42.011,Las Vegas Sands Corp. (LVS),55
1.60 (3.73%),1.82,23.56,46.75,22.03 - 46.14,"1,043,474",1.5,5.682,"Leggett & Platt, Incorporated (LEG)",42.88
1.36 (1.24%),4.26,25.77,117.5,68.00 - 125.84,"796,366",1,15.624,"Leidos Holdings, Inc. (LDOS)",109.78
1.00 (1.06%),7.85,12.05,95.47,25.42 - 95.72,"2,815,195",1.51,28.881,Lennar Corporation (LEN),94.56
3.40 (1.68%),6.79,29.84,213.79,117.06 - 218.00,"4,732,035",0.28,193.784,Eli Lilly and Company (LLY),202.58
1.68 (3.24%),2.56,20.23,55.08,16.11 - 61.96,"1,924,977",2.2,10.011,Lincoln National Corporation (LNC),51.8
4.24 (1.68%),4.71,53.76,288.99,146.71 - 274.58,"1,731,662",0.81,132.847,Linde plc (LIN),253.11
N/A (N/A),-6.97,N/A,68.82,21.70 - 83.08,"2,731,696",1.38,17.295,"Live Nation Entertainment, Inc. (LYV)",81.04
N/A (N/A),1.96,19.08,42.22,13.31 - 40.04,"1,811,322",1.68,11.367,LKQ Corporation (LKQ),37.35
10.40 (3.04%),24.3,13.95,411.29,266.11 - 439.69,"1,683,072",0.94,94.994,Lockheed Martin Corporation (LMT),339.14
0.25 (0.52%),-3.32,N/A,N/A,27.33 - 54.95,"919,406",0.9,12.877,Loews Corporation (L),48.22
2.40 (1.37%),7.07,24.86,191.54,60.00 - 180.67,"5,124,335",1.35,128.761,"Lowe's Companies, Inc. (LOW)",175.73
1.00 (8.01%),N/A,N/A,9.66,8.16 - 16.60,"14,618,001",N/A,12.617,"Lumen Technologies, Inc. (LUMN)",11.5
4.20 (4.43%),4.24,22.36,95.36,33.71 - 99.86,"1,852,903",1.55,31.662,LyondellBasell Industries N.V. (LYB),94.82
4.40 (3.09%),9.94,14.31,151.69,85.09 - 171.05,"1,026,209",1.19,18.245,M&T Bank Corporation (MTB),142.21
0.12 (1.37%),-1.44,N/A,9.32,3.02 - 11.97,"30,937,150",3.3,6.907,Marathon Oil Corporation (MRO),8.75
2.32 (4.66%),-15.28,N/A,52.93,15.26 - 60.35,"6,851,383",2.15,32.376,Marathon Petroleum Corporation (MPC),49.76
2.64 (0.48%),7.85,69.52,585.83,275.50 - 606.45,"304,679",0.44,20.717,MarketAxess Holdings Inc. (MKTX),545.72
N/A (N/A),0.54,235.41,126.18,46.56 - 150.97,"2,690,835",1.87,41.077,"Marriott International, Inc. (MAR)",126.65
1.86 (1.65%),3.94,28.63,121.71,74.33 - 120.97,"1,756,046",0.87,57.302,"Marsh & McLennan Companies, Inc. (MMC)",112.8
2.28 (0.72%),11.54,27.6,319.07,135.08 - 321.61,"567,662",0.67,19.838,"Martin Marietta Materials, Inc. (MLM)",318.56
0.94 (1.71%),4.6,11.95,66.43,27.04 - 60.16,"2,098,293",1.35,14.145,Masco Corporation (MAS),55.01
1.76 (0.53%),6.37,53.83,384.2,199.99 - 367.25,"4,068,819",1.19,340.969,Mastercard Incorporated (MA),342.87
1.36 (1.51%),2.78,32.33,92.06,56.12 - 105.54,"1,133,270",0.48,24.028,"McCormick & Company, Incorporated (MKC)",89.88
N/A (N/A),2.68,35.4,89.36,41.93 - 98.44,"2,086,548",1.24,25.448,"Maxim Integrated Products, Inc. (MXIM)",94.94
5.16 (2.41%),6.31,33.98,241.93,124.23 - 231.91,"3,377,622",0.62,159.655,McDonald's Corporation (MCD),214.27
1.68 (0.91%),-25.42,N/A,214.87,112.60 - 187.67,"1,145,453",0.86,28.932,McKesson Corporation (MCK),181.77
2.32 (1.97%),2.74,43.33,129.29,72.13 - 119.87,"4,376,929",0.73,159.799,Medtronic plc (MDT),118.72
2.60 (3.48%),2.78,26.88,96.14,65.25 - 87.80,"9,137,629",0.44,189.094,"Merck & Co., Inc. (MRK)",74.74
1.84 (3.33%),5.68,9.74,56,22.85 - 56.15,"5,775,791",1.33,49.386,"MetLife, Inc. (MET)",55.31
N/A (N/A),24.91,48.26,"1,176.27","579.40 - 1,271.67","129,967",1.01,28.138,Mettler-Toledo International Inc. (MTD),"1,202.07"
0.01 (0.03%),-2.09,N/A,32.44,5.90 - 36.35,"9,480,200",2.45,17.436,MGM Resorts International (MGM),35.3
N/A (N/A),1.26,125.3,170.05,53.15 - 157.78,"1,935,588",1.71,42.444,Microchip Technology Incorporated (MCHP),157.63
N/A (N/A),2.65,32.62,94.45,31.13 - 87.25,"18,035,745",1.25,96.743,"Micron Technology, Inc. (MU)",86.48
2.24 (0.92%),6.71,36.45,272.95,132.52 - 245.15,"29,752,746",0.82,1848,Microsoft Corporation (MSFT),244.49
4.10 (2.97%),2.19,63,138.08,82.00 - 148.88,"669,622",0.67,15.78,"Mid-America Apartment Communities, Inc. (MAA)",137.97
N/A (N/A),49.9,3.2,142.29,56.62 - 161.78,"580,114",1.52,11.371,"Mohawk Industries, Inc. (MHK)",159.71
N/A (N/A),2.69,16.54,49.62,32.11 - 61.94,"2,398,711",1.15,9.669,Molson Coors Beverage Company (TAP),44.5
N/A (N/A),2.47,22.54,65.7,41.19 - 60.00,"6,372,688",0.62,78.626,"Mondelez International, Inc. (MDLZ)",55.68
N/A (N/A),2.22,40.53,101.06,50.06 - 95.11,"2,061,446",1.09,47.481,Monster Beverage Corporation (MNST),89.94
2.24 (0.80%),9.6,29.01,318,164.19 - 305.96,"803,512",1.16,52.332,Moody's Corporation (MCO),278.66
1.40 (1.88%),6.46,11.41,83.07,27.20 - 77.76,"11,637,751",1.51,133.374,Morgan Stanley (MS),73.72
0.20 (0.72%),-2.86,N/A,29.45,6.50 - 29.34,"5,399,058",1.78,10.558,The Mosaic Company (MOS),27.85
2.84 (1.56%),5.45,33.36,206.44,120.77 - 187.49,"870,027",0.76,30.818,"Motorola Solutions, Inc. (MSI)",181.79
3.12 (0.75%),7.12,59.95,472.56,218.65 - 455.81,"488,904",0.92,35.259,MSCI Inc. (MSCI),426.86
1.96 (1.38%),5.59,25.47,155.38,71.66 - 145.40,"936,782",0.84,23.354,"Nasdaq, Inc. (NDAQ)",142.37
1.92 (2.78%),3.07,22.55,65.81,34.66 - 70.64,"2,158,529",1.29,15.449,"NetApp, Inc. (NTAP)",69.16
N/A (N/A),6.08,91.71,619.73,290.25 - 593.29,"5,037,106",0.83,246.954,"Netflix, Inc. (NFLX)",557.59
0.92 (3.53%),-0.25,N/A,23.3,10.44 - 26.89,"3,096,832",0.99,11.053,Newell Brands Inc. (NWL),26.05
1.60 (2.68%),3.18,18.35,76.05,33.00 - 72.22,"6,220,400",0.25,46.9,Newmont Corporation (NEM),58.38
N/A (N/A),-1.46,N/A,24.45,7.90 - 23.08,"2,828,516",1.62,13.596,News Corporation (NWSA),23.04
N/A (N/A),-1.46,N/A,N/A,7.88 - 23.01,"786,695",1.62,13.596,News Corporation (NWS),22.97
1.40 (1.67%),1.48,56.72,89.35,43.70 - 87.69,"7,784,154",0.19,164.464,"NextEra Energy, Inc. (NEE)",83.95
0.24 (1.06%),-0.42,N/A,21.71,11.62 - 23.99,"5,220,146",1.44,8.273,Nielsen Holdings plc (NLSN),23.13
1.10 (0.77%),1.77,80.91,162.69,60.00 - 147.95,"5,588,574",0.86,226.289,"NIKE, Inc. (NKE)",143.54
0.88 (3.87%),-0.78,N/A,25.82,19.56 - 30.46,"3,057,380",0.3,8.718,NiSource Inc. (NI),22.75
3.96 (1.59%),7.84,31.76,259.39,112.62 - 258.17,"1,221,620",1.32,62.703,Norfolk Southern Corporation (NSC),248.91
2.80 (2.89%),5.46,17.76,105.2,60.67 - 104.45,"947,558",1.09,20.202,Northern Trust Corporation (NTRS),96.99
5.80 (1.94%),19.03,15.75,367.83,263.31 - 374.39,"1,060,387",0.78,49.954,Northrop Grumman Corporation (NOC),299.63
N/A (N/A),N/A,N/A,25.78,15.12 - 24.40,"6,468,482",1.03,12.386,NortonLifeLock Inc. (NLOK),21.28
N/A (N/A),-13.45,N/A,23.33,7.03 - 54.28,"23,011,914",2.87,7.503,Norwegian Cruise Line Holdings Ltd. (NCLH),23.77
N/A (N/A),-6.62,N/A,15.38,7.70 - 24.21,"5,912,796",2.29,5.296,NOV Inc. (NOV),13.64
1.30 (3.03%),16.38,2.62,49,19.54 - 43.54,"2,427,554",0.94,10.472,"NRG Energy, Inc. (NRG)",42.88
1.62 (2.95%),2.36,23.24,57.11,27.53 - 58.52,"1,994,203",1.38,16.561,Nucor Corporation (NUE),54.85
0.64 (0.10%),6.12,99.73,596.59,180.68 - 610.89,"7,664,735",1.42,377.609,NVIDIA Corporation (NVDA),610.03
N/A (N/A),230.11,20.46,"5,649.33","2,043.01 - 4,806.54","25,890",1.01,17.4,"NVR, Inc. (NVR)","4,708.33"
N/A (N/A),23.53,18.41,533.18,251.52 - 496.61,"585,950",1.04,30.504,"O'Reilly Automotive, Inc. (ORLY)",433.16
0.04 (0.16%),-17.28,N/A,21.26,8.52 - 43.60,"26,207,622",2.44,23.262,Occidental Petroleum Corporation (OXY),24.98
0.80 (0.38%),5.68,36.63,221.47,105.80 - 216.31,"670,966",1,24.41,"Old Dominion Freight Line, Inc. (ODFL)",208.04
2.60 (3.94%),4.43,14.89,66.67,44.50 - 80.02,"2,278,616",0.91,14.193,Omnicom Group Inc. (OMC),66.02
3.74 (8.45%),1.46,30.33,41.8,12.16 - 78.48,"3,689,846",2,19.678,"ONEOK, Inc. (OKE)",44.28
0.96 (1.53%),3.31,18.97,66.78,39.71 - 66.20,"10,659,898",0.78,188.783,Oracle Corporation (ORCL),62.7
0.80 (N/A),N/A,N/A,71.25,38.00 - 68.21,"2,235,562",N/A,27.508,Otis Worldwide Corporation (OTIS),63.43
1.28 (1.30%),3.74,26.36,98.67,49.11 - 103.19,"1,674,193",1.07,34.175,PACCAR Inc (PCAR),98.6
4.00 (3.05%),4.84,27.1,136,71.05 - 148.14,"605,945",1,12.439,Packaging Corporation of America (PKG),131.17
3.52 (1.29%),11.02,24.78,322.31,93.00 - 293.80,"908,141",1.79,35.242,Parker-Hannifin Corporation (PH),273.02
2.48 (2.75%),2.93,30.82,96.14,47.87 - 99.95,"1,694,850",0.89,32.561,"Paychex, Inc. (PAYX)",90.29
N/A (N/A),2.46,165.58,464.69,163.42 - 471.08,"391,772",1.44,23.474,"Paycom Software, Inc. (PAYC)",407.32
N/A (N/A),3.54,80.52,294.58,82.07 - 302.10,"8,852,606",1.14,333.821,"PayPal Holdings, Inc. (PYPL)",285.03
0.80 (1.46%),2.14,25.34,60.31,22.01 - 59.30,"1,123,100",1.16,9.018,Pentair plc (PNR),54.21
0.72 (4.78%),1.32,11.4,15.2,9.37 - 16.36,"5,232,224",1.22,6.391,"People's United Financial, Inc. (PBCT)",15.05
N/A (N/A),5.05,26.73,153.75,101.42 - 148.77,"4,075,293",N/A,186.206,"PepsiCo, Inc. (PEP)",134.97
0.28 (0.19%),6.49,22.9,164.86,62.91 - 162.70,"935,811",1.15,16.651,"PerkinElmer, Inc. (PKI)",148.7
0.90 (2.07%),-0.05,N/A,56.22,40.01 - 63.86,"1,096,303",1.21,6.249,Perrigo Company plc (PRGO),45.78
1.56 (4.53%),1.71,20.17,41.09,26.45 - 43.08,"49,047,316",0.63,191.376,Pfizer Inc. (PFE),34.43
4.80 (5.62%),5.16,16.54,97.1,56.01 - 89.73,"5,295,627",0.84,132.944,Philip Morris International Inc. (PM),85.36
3.60 (4.69%),-9.06,N/A,80.47,40.04 - 92.30,"3,640,490",1.71,33.738,Phillips 66 (PSX),77.24
3.32 (4.33%),5.61,13.66,87.46,60.05 - 105.51,"880,483",0.29,8.632,Pinnacle West Capital Corporation (PNW),76.66
N/A (N/A),1.04,124.76,158.32,48.62 - 147.24,"2,402,087",1.97,28.079,Pioneer Natural Resources Company (PXD),129.87
4.60 (2.89%),16.97,9.39,164.13,79.41 - 162.74,"2,296,938",1.35,67.547,"The PNC Financial Services Group, Inc. (PNC)",159.31
2.32 (0.70%),7.96,41.45,384.29,160.35 - 401.29,"394,240",0.76,13.248,Pool Corporation (POOL),329.89
2.16 (1.56%),4.45,31,155.43,69.77 - 153.81,"1,284,982",1.14,32.61,"PPG Industries, Inc. (PPG)",138.06
1.66 (5.94%),2.01,13.87,30.58,18.12 - 36.44,"4,782,746",0.79,21.481,PPL Corporation (PPL),27.94
2.24 (4.13%),4.41,12.26,55.1,23.31 - 57.00,"1,567,887",1.61,14.772,"Principal Financial Group, Inc. (PFG)",54.05
3.16 (2.46%),5.29,24.25,151.05,94.34 - 146.92,"7,092,106",0.41,316.01,The Procter & Gamble Company (PG),128.33
4.90 (5.67%),9.66,8.94,100.63,62.18 - 102.05,"2,802,501",0.48,50.544,The Progressive Corporation (PGR),86.37
2.32 (2.15%),2.01,53.67,118.44,59.82 - 112.37,"2,869,679",0.78,79.689,"Prologis, Inc. (PLD)",107.76
N/A (N/A),-0.99,N/A,84.27,38.62 - 97.24,"2,163,091",1.67,32.239,"Prudential Financial, Inc. (PRU)",81.33
1.96 (3.35%),3.77,15.54,64.13,34.75 - 62.15,"2,327,458",0.57,29.628,Public Service Enterprise Group Incorporated (PEG),58.57
8.00 (3.43%),6.49,35.91,239,155.37 - 240.75,"916,637",0.1,40.746,Public Storage (PSA),233.07
0.56 (1.13%),5.18,9.57,57.29,17.12 - 50.23,"3,177,462",1.41,13.164,"PulteGroup, Inc. (PHM)",49.51
N/A (N/A),-15.99,N/A,103.1,28.40 - 108.84,"1,156,543",2.44,6.948,PVH Corp. (PVH),97.72
N/A (N/A),4.16,42.01,191.32,67.54 - 191.82,"1,250,267",1.44,19.781,"Qorvo, Inc. (QRVO)",174.65
0.24 (0.31%),2.7,28.5,77.36,23.77 - 79.86,"1,319,737",1.24,10.694,"Quanta Services, Inc. (PWR)",77.01
2.60 (1.79%),5.85,24.88,172.27,58.00 - 167.94,"8,309,440",1.36,165.356,QUALCOMM Incorporated (QCOM),145.56
N/A (N/A),10.47,11.94,140.4,73.02 - 134.71,"1,240,983",1.03,16.633,Quest Diagnostics Incorporated (DGX),125.06
N/A (N/A),-4.03,N/A,123.53,59.82 - 124.18,"1,409,340",1.5,8.295,Ralph Lauren Corporation (RL),113.44
1.56 (1.38%),6.16,18.41,120.78,54.21 - 113.46,"766,858",1.24,15.623,"Raymond James Financial, Inc. (RJF)",113.45
1.90 (2.62%),N/A,N/A,84.88,43.44 - 98.04,"7,904,698",1.02,109.904,Raytheon Technologies Corporation (RTX),72.33
2.81 (4.47%),1.2,52.4,69.61,38.00 - 84.92,"3,063,338",0.72,23.497,Realty Income Corporation (O),62.93
2.38 (4.64%),0.28,185.02,51,31.80 - 64.65,"1,320,169",1.09,8.696,Regency Centers Corporation (REG),51.25
N/A (N/A),30.52,16.07,652.54,386.84 - 664.64,"959,454",0.16,52.553,"Regeneron Pharmaceuticals, Inc. (REGN)",490.54
N/A (N/A),1.03,18.78,20.09,6.94 - 19.61,"8,853,548",1.53,18.575,Regions Financial Corporation (RF),19.34
1.70 (1.86%),3.19,28.61,106,65.37 - 103.79,"1,284,443",0.68,29.096,"Republic Services, Inc. (RSG)",91.29
1.56 (0.78%),4.79,41.86,214.6,108.85 - 224.43,"482,803",0.32,29.179,ResMed Inc. (RMD),200.53
1.36 (1.86%),2.7,27.06,68,32.38 - 73.93,"1,209,880",1.62,8.327,Robert Half International Inc. (RHI),73.06
N/A (N/A),11.18,22.08,256.15,115.38 - 268.91,"728,512",1.38,28.674,"Rockwell Automation, Inc. (ROK)",246.86
0.32 (0.85%),0.53,71.04,36,20.48 - 43.00,"1,646,151",0.47,18.51,"Rollins, Inc. (ROL)",37.65
2.25 (0.56%),8.98,44.54,451.22,240.00 - 455.72,"536,862",1.03,41.95,"Roper Technologies, Inc. (ROP)",400.01
N/A (N/A),0.86,141.72,127.63,56.30 - 124.16,"2,114,479",1.02,43.446,"Ross Stores, Inc. (ROST)",121.88
N/A (N/A),-19.76,N/A,70.08,19.25 - 118.03,"5,278,093",2.87,16.14,Royal Caribbean Group (RCL),67.99
3.08 (0.91%),9.66,35.13,400.67,186.06 - 379.87,"1,692,814",0.95,81.691,S&P Global Inc. (SPGI),339.39
N/A (N/A),3.86,62.53,274.71,115.29 - 284.50,"9,579,203",1.12,221.394,"salesforce.com, inc. (CRM)",241.24
1.86 (0.70%),-0.13,N/A,327.8,205.20 - 328.37,"660,688",0.18,29.429,SBA Communications Corporation (SBAC),265.02
0.50 (1.92%),-7.57,N/A,28.12,11.87 - 35.38,"13,752,498",2.39,36.716,Schlumberger Limited (SLB),26.37
2.68 (3.70%),3.83,18.93,65.35,39.02 - 77.07,"3,618,756",1.16,17.15,Seagate Technology plc (STX),72.46
0.64 (1.47%),3.22,13.51,51.36,17.06 - 47.90,"1,051,132",1.24,6.749,Sealed Air Corporation (SEE),43.5
4.18 (3.32%),13.01,9.67,145.94,88.00 - 161.76,"1,761,008",0.65,36.29,Sempra Energy (SRE),125.8
N/A (N/A),0.59,"1,007.58",594.2,238.93 - 598.37,"1,409,298",0.99,115.981,"ServiceNow, Inc. (NOW)",594.47
5.36 (0.75%),22.08,32.58,787.9,325.43 - 758.00,"456,293",1.05,65.329,The Sherwin-Williams Company (SHW),719.29
5.20 (4.76%),3.59,30.44,102.06,42.25 - 142.77,"5,617,035",1.54,35.855,"Simon Property Group, Inc. (SPG)",109.27
2.00 (1.06%),6.33,29.84,198.96,67.90 - 189.70,"2,327,622",1.16,31.127,"Skyworks Solutions, Inc. (SWKS)",188.76
3.64 (5.63%),4.87,13.28,67.51,36.21 - 98.80,"1,622,941",1.66,4.428,SL Green Realty Corp. (SLG),64.64
4.92 (2.59%),11.44,16.6,185.63,90.72 - 193.54,"459,650",1.27,10.295,Snap-on Incorporated (SNA),189.89
2.56 (4.18%),2.99,20.51,63.69,41.96 - 70.37,"3,703,716",0.43,64.737,The Southern Company (SO),61.29
N/A (N/A),-5.44,N/A,56.32,22.47 - 58.83,"8,264,454",1.22,30.373,Southwest Airlines Co. (LUV),51.42
