EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
1.68B,5.82,732M,86.10%,7.20%,6.66%,36.40%,8.85B,2.93,9.14,722M,2.38,0.85,6.32B,227.80,1.04B,1.48,3.15%,3.01B,35.54%,53.76%,Campbell Soup Company (CPB),1.51B,15.37%,58.09%,20.02%,29.27,193.21M,19.3M,302.94M,6.69,9.87%,6.37%
N/A,5.18,2.38B,118.20%,26.10%,0.67%,4.60%,18.26B,1.90,120.60,40.51B,88.25,N/A,40.54B,N/A,N/A,1.6,1.37%,18.26B,0.89%,92.27%,Capital One Financial Corporation (COF),N/A,17.87%,19.27%,14.86%,39.88,454.55M,3.93M,459M,1.07,0.86%,0.86%
2.75B,4.70,1.38B,185.90%,4.50%,2.76%,93.05%,156.45B,3.18,6.70,3.74B,12.73,1.17,6.73B,340.91,1.45B,N/A,N/A,6.87B,0.18%,87.74%,"Cardinal Health, Inc. (CAH)",3.4B,1.21%,41.69%,0.88%,534.88,293.09M,4.04M,293.67M,2.29,1.57%,1.37%
1.27B,4.55,751.91M,35.90%,8.00%,3.11%,19.21%,19.88B,N/A,25.32,236.64M,1.46,2.60,15.5B,375.46,572.24M,N/A,N/A,3.18B,0.31%,100.47%,"CarMax, Inc. (KMX)",749.69M,5.18%,0.00%,3.78%,121.75,161.92M,7M,162.54M,4.05,4.87%,4.31%
-2.68B,-13.21,-10.24B,N/A,-99.30%,-6.23%,-44.58%,5.59B,4.23,18.91,9.51B,8.52,1.22,28.39B,138.12,-8.01B,N/A,N/A,834M,9.63%,43.71%,Carnival Corporation & plc (CCL),-6.3B,-87.90%,N/A,-182.98%,7.22,988.42M,70.1M,932.49M,2.03,10.30%,6.28%
3.27B,N/A,1.98B,100.90%,2.10%,7.73%,19.09%,17.46B,N/A,N/A,3.12B,3.59,1.67,10.87B,165.23,2.2B,0.48,1.21%,5.11B,0.04%,84.06%,Carrier Global Corporation (CARR),1.69B,16.82%,5.79%,11.35%,20.15,867.02M,10.23M,869.21M,1.87,1.32%,1.18%
787M,1.80,291.5M,94.30%,26.30%,4.48%,11.27%,3.46B,N/A,20.31,833.1M,4.89,2.46,3.06B,80.21,-256.1M,N/A,N/A,983.3M,0.59%,100.28%,"Catalent, Inc. (CTLT)",518.1M,14.88%,0.00%,9.98%,21.70,169.41M,2.09M,170.23M,2.18,1.61%,1.23%
7.02B,5.46,3B,-29.00%,-14.50%,3.66%,20.01%,41.75B,2.86,28.16,8.82B,16.2,1.53,37.16B,241.66,1.97B,4.12,2.08%,10.13B,0.19%,69.59%,Caterpillar Inc. (CAT),6.33B,10.98%,75.46%,7.18%,76.73,543.33M,4.46M,543.26M,1.39,0.82%,0.82%
864.5M,4.55,467M,1.20%,41.00%,7.68%,13.97%,3.43B,1.24,28.09,337.8M,3.13,1.19,1.34B,39.89,N/A,1.68,1.91%,1.25B,0.53%,84.61%,"Cboe Global Markets, Inc. (CBOE)",N/A,20.84%,36.53%,13.66%,31.41,107.17M,2.55M,108.04M,2.87,2.98%,2.28%
1.64B,3.19,1.08B,-28.20%,-4.70%,4.55%,17.77%,24.04B,N/A,20.00,1.48B,4.52,1.26,4.4B,66.67,1.45B,N/A,N/A,5.21B,0.70%,97.95%,"CBRE Group, Inc. (CBRE)",1.91B,4.75%,0.00%,4.48%,71.74,324.65M,6.19M,335.46M,3.76,2.21%,1.84%
1.64B,5.45,788.5M,28.40%,9.20%,8.50%,69.86%,18.47B,1.02,9.09,1.41B,9.88,1.53,4.62B,356.24,424.49M,1.6,1.02%,3.21B,0.92%,94.39%,CDW Corporation (CDW),1.31B,6.39%,29.98%,4.27%,129.51,141.2M,1.73M,142.99M,2.08,1.38%,1.21%
1.05B,16.75,2B,"3,279.10%",11.10%,4.26%,59.00%,5.66B,2.00,30.48,1.49B,12.86,1.91,3.93B,100.92,N/A,2.72,2.08%,1.29B,0.74%,102.09%,Celanese Corporation (CE),N/A,12.29%,14.72%,35.10%,48.01,114.75M,1.32M,116.89M,1.46,1.29%,1.13%
5.47B,3.12,1.81B,N/A,46.40%,4.80%,9.28%,104.28B,N/A,44.32,12.38B,21.29,1.08,16.78B,64.63,7.26B,N/A,N/A,18.02B,1.82%,95.05%,Centene Corporation (CNC),5.5B,4.04%,0.00%,1.73%,182.72,571.56M,8.48M,581.48M,2.21,1.66%,1.46%
2.84B,-1.88,-701M,-55.20%,-2.20%,2.93%,-6.51%,12.12B,4.21,10.89,1.06B,1.96,0.73,13.35B,159.10,-51.88M,0.64,3.01%,3.32B,0.29%,98.01%,"CenterPoint Energy, Inc. (CNP)",1.99B,13.02%,N/A,-6.73%,23.33,543.34M,16.8M,544.82M,4.06,3.47%,3.08%
1.56B,2.52,780.09M,-8.30%,-3.30%,7.52%,17.73%,5.51B,N/A,14.63,1.06B,3.45,2.27,1.49B,33.33,925.8M,0.88,1.11%,4.57B,0.14%,87.24%,Cerner Corporation (CERN),1.44B,15.76%,30.16%,14.17%,17.95,305.82M,13.54M,306.59M,8.91,4.96%,4.42%
1.54B,1.32,285M,N/A,-18.40%,3.35%,7.30%,4.07B,3.43,13.21,553M,2.59,1.72,4.25B,77.59,839.12M,1.2,2.78%,1.17B,0.52%,94.08%,"CF Industries Holdings, Inc. (CF)",1.24B,16.33%,90.23%,7.00%,18.89,212.37M,3.66M,213.92M,1.39,2.25%,1.71%
N/A,2.12,3.04B,33.20%,60.20%,N/A,12.43%,11.69B,1.11,20.22,57.56B,30.67,N/A,9.27B,29.58,N/A,0.72,1.29%,11.34B,7.11%,70.38%,The Charles Schwab Corporation (SCHW),N/A,40.14%,33.96%,28.22%,8.18,1.66B,14.32M,1.8B,1.53,0.86%,0.76%
18.1B,15.40,3.22B,74.50%,7.30%,3.59%,10.64%,48.1B,N/A,122.88,998M,5.15,0.40,84.16B,277.93,5.06B,N/A,N/A,21.2B,31.95%,75.08%,"Charter Communications, Inc. (CHTR)",14.56B,17.46%,0.00%,6.70%,236.56,122.26M,8.23M,193.73M,6.82,7.90%,4.25%
12.52B,-2.96,-5.54B,N/A,-28.10%,N/A,-4.01%,94.47B,4.35,70.57,6.89B,3.69,N/A,34.81B,26.36,N/A,5.16,5.58%,43.98B,0.04%,62.86%,Chevron Corporation (CVX),10.6B,-7.39%,N/A,-5.87%,50.52,1.87B,14.74M,1.93B,1.46,0.77%,0.77%
606.8M,12.52,355.77M,163.70%,11.60%,4.15%,19.21%,5.98B,N/A,72.14,951.6M,33.99,1.73,3.16B,156.28,209.29M,N/A,N/A,2.07B,1.15%,97.69%,"Chipotle Mexican Grill, Inc. (CMG)",663.85M,6.15%,0.00%,5.95%,214.37,27.62M,704.44k,28M,2.76,2.83%,2.52%
4.03B,7.79,3.53B,106.10%,13.00%,1.27%,6.16%,36.05B,2.11,131.88,6.09B,13.52,0.34,17.1B,28.77,N/A,3.12,1.90%,7.01B,0.44%,91.51%,Chubb Limited (CB),N/A,10.38%,39.67%,9.80%,79.83,447.76M,2.94M,451.37M,2.16,0.66%,0.65%
1.22B,3.12,785.9M,4.00%,13.20%,9.15%,27.63%,4.9B,1.37,12.18,183.1M,0.74,0.80,2.16B,71.64,841.46M,1.01,1.22%,2.21B,0.19%,86.02%,"Church & Dwight Co., Inc. (CHD)",990.3M,21.03%,30.77%,16.05%,19.84,247.29M,4.3M,245.35M,2.9,2.00%,1.75%
11.59B,22.96,8.46B,323.20%,9.20%,3.53%,17.73%,160.55B,0.02,141.84,11.51B,32.45,0.77,32.92B,65.33,13.19B,4,1.89%,24.36B,1.51%,91.33%,Cigna Corporation (CI),10.35B,5.47%,0.28%,5.27%,435.82,353.52M,4.52M,350.57M,2.51,1.28%,1.27%
1.64B,7.49,1.22B,67.60%,25.20%,3.67%,11.77%,7.54B,2.66,67.05,900M,5.59,1.19,899M,8.33,N/A,2.52,2.76%,1.57B,6.85%,67.57%,Cincinnati Financial Corporation (CINF),N/A,20.61%,32.04%,16.14%,46.79,147.01M,6.47M,160.9M,7.41,4.98%,4.02%
1.52B,8.91,956.56M,15.70%,-4.70%,9.44%,28.76%,6.93B,0.98,34.27,703.17M,6.7,2.06,2.84B,78.91,1.06B,3,0.88%,3.23B,14.44%,66.67%,Cintas Corporation (CTAS),1.29B,17.79%,39.39%,13.90%,66.50,89.7M,941.48k,105.03M,1.84,1.06%,0.90%
14.63B,2.39,10.13B,-11.60%,-0.40%,8.71%,27.14%,48.03B,3.03,9.26,30.59B,7.24,1.61,14.55B,37.20,12.03B,1.44,2.97%,31.68B,0.06%,74.11%,"Cisco Systems, Inc. (CSCO)",15.11B,26.98%,57.89%,21.09%,11.36,4.22B,47.76M,4.23B,2.39,1.13%,1.13%
N/A,4.87,10.22B,-7.00%,3.90%,0.54%,5.80%,58.37B,2.07,86.59,979.41B,470.44,N/A,500.72B,N/A,N/A,2.04,3.23%,58.37B,0.22%,76.17%,Citigroup Inc. (C),N/A,24.02%,41.80%,19.48%,27.98,2.08B,22.22M,2.08B,1,1.07%,1.07%
N/A,2.22,950M,1.30%,3.70%,0.61%,4.71%,5.29B,2.95,48.49,14.95B,35.01,N/A,8.72B,N/A,N/A,1.56,3.90%,5.29B,0.41%,99.75%,"Citizens Financial Group, Inc. (CFG)",N/A,26.91%,70.27%,19.99%,12.39,424.95M,6.83M,427.21M,1.73,1.83%,1.60%
721.49M,4.00,504.45M,-45.90%,-0.00%,8.36%,106.22%,3.24B,N/A,0.92,877.01M,7.13,0.93,1.98B,"1,762.70",948.43M,1.48,1.08%,2.77B,0.66%,94.61%,"Citrix Systems, Inc. (CTXS)",935.81M,19.18%,35.00%,15.58%,26.19,122.14M,5.11M,122.96M,3.08,5.55%,4.17%
1.73B,9.56,1.22B,40.00%,27.10%,15.58%,127.03%,7.52B,2.42,9.42,732M,5.82,1.21,3.16B,228.77,1.06B,4.44,2.41%,3.06B,0.17%,85.84%,The Clorox Company (CLX),1.68B,20.40%,45.40%,16.28%,59.64,125.34M,10.7M,125.79M,6.08,9.75%,8.51%
3.1B,5.88,2.11B,-9.70%,-3.30%,1.65%,8.02%,4.88B,1.81,73.51,1.73B,4.84,1.01,3.44B,13.07,N/A,N/A,N/A,4.88B,1.39%,86.90%,CME Group Inc. (CME),N/A,54.01%,55.00%,43.11%,13.64,353.43M,5.86M,358.99M,3.53,1.84%,1.63%
2.38B,2.64,755M,-5.40%,0.20%,3.01%,13.51%,6.68B,2.74,19.24,168M,0.59,1.53,15.2B,250.06,548.63M,1.74,3.08%,1.36B,0.45%,92.85%,CMS Energy Corporation (CMS),1.28B,20.39%,61.74%,11.30%,23.44,284M,3.77M,286.33M,1.8,1.52%,1.32%
11.33B,1.79,7.75B,-28.70%,-5.00%,7.05%,36.66%,33.01B,3.22,4.49,10.91B,2.54,1.32,42.79B,201.06,7.1B,1.64,3.26%,19.58B,0.70%,68.20%,The Coca-Cola Company (KO),9.84B,29.68%,91.62%,23.47%,7.69,3.87B,22.72M,4.3B,1.04,0.53%,0.53%
2.95B,2.57,1.39B,-20.00%,-2.30%,9.03%,12.74%,16.65B,N/A,20.44,2.72B,5.14,1.93,1.76B,16.22,2.67B,N/A,N/A,6.05B,0.24%,93.76%,Cognizant Technology Solutions Corporation (CTSH),3.3B,14.38%,34.24%,8.36%,30.84,528.36M,8.15M,530M,3.58,1.54%,1.54%
4.34B,3.14,2.7B,0.60%,7.70%,15.35%,344.79%,16.47B,2.32,0.87,925M,1.08,1.05,7.6B,690.37,3.13B,1.76,2.24%,10.02B,0.23%,80.69%,Colgate-Palmolive Company (CL),3.72B,23.08%,55.73%,16.36%,19.22,795.47M,8.65M,857.17M,1.7,1.08%,1.01%
30.59B,2.28,10.53B,6.90%,-2.40%,4.07%,12.01%,103.56B,1.80,19.72,11.74B,2.56,0.93,113.39B,121.90,13.47B,1,1.90%,70.44B,0.67%,85.68%,Comcast Corporation (CMCSA),24.74B,16.89%,40.35%,10.17%,22.64,4.54B,78.77M,4.57B,4.02,1.73%,1.72%
N/A,3.27,459M,-20.10%,-6.40%,0.59%,6.17%,2.38B,2.95,55.01,16.23B,116.54,N/A,6.13B,N/A,N/A,2.72,4.42%,2.38B,1.03%,81.08%,Comerica Incorporated (CMA),928M,26.99%,83.18%,19.96%,17.09,137.91M,2.7M,139.17M,1.92,2.23%,1.94%
2.43B,2.27,1.11B,45.50%,6.20%,5.77%,13.80%,11.52B,2.57,17.18,68M,0.14,0.83,9.54B,112.64,1.18B,1.1,3.19%,3.1B,0.41%,84.75%,"Conagra Brands, Inc. (CAG)",1.96B,17.94%,40.20%,9.67%,23.60,486.38M,12.48M,488.58M,2.72,3.40%,2.56%
4.77B,-2.51,-2.7B,N/A,-28.80%,-1.52%,-8.18%,19.22B,2.81,27.95,7.86B,7.36,2.25,15.37B,51.49,789.75M,1.72,3.70%,6.79B,0.04%,75.96%,ConocoPhillips (COP),4.8B,-8.43%,N/A,-14.06%,17.83,1.07B,17.17M,1.35B,1.44,1.27%,1.27%
4.39B,4.05,1.35B,4.20%,-1.00%,2.73%,7.64%,12.24B,3.57,55.37,153M,0.46,0.59,24.02B,128.38,-1.15B,3.1,4.32%,6.77B,0.16%,64.81%,"Consolidated Edison, Inc. (ED)",2.54B,20.66%,74.94%,11.06%,36.68,334.34M,6.19M,334.92M,2.16,1.85%,1.85%
3.26B,10.36,2.01B,255.40%,21.90%,6.76%,15.96%,8.56B,1.24,68.88,152.9M,0.79,1.69,10.98B,80.46,1.52B,3,1.25%,4.29B,9.74%,84.62%,"Constellation Brands, Inc. (STZ)",2.84B,34.57%,28.90%,23.51%,44.38,165.32M,1.84M,170.03M,1.45,1.13%,0.95%
689M,4.81,238.4M,-32.90%,-1.40%,3.86%,6.40%,2.43B,0.02,77.89,115.9M,2.36,1.27,2.08B,54.39,173.89M,0.06,0.02%,1.62B,0.57%,99.58%,"The Cooper Companies, Inc. (COO)",486.6M,16.53%,1.25%,9.81%,49.51,48.82M,685.13k,49.14M,2.59,1.80%,1.39%
956.23M,2.85,682.01M,-8.20%,6.90%,16.28%,29.41%,2.24B,N/A,11.48,605.73M,2.57,2.79,525.94M,19.40,169.79M,N/A,N/A,1.01B,11.74%,82.80%,"Copart, Inc. (CPRT)",963.96M,38.29%,0.00%,30.39%,9.58,209.69M,2.7M,236.13M,2.23,1.47%,1.15%
2.87B,0.54,414M,687.50%,18.90%,2.82%,3.87%,11.3B,2.43,14.32,2.67B,3.49,2.12,8B,59.46,878M,0.96,2.61%,4B,0.32%,76.80%,Corning Incorporated (GLW),2.18B,11.93%,162.96%,4.53%,14.85,762.45M,7.67M,764.01M,1.71,1.01%,1.00%
2.02B,-1.28,736M,N/A,7.50%,1.24%,3.05%,14.22B,N/A,32.47,3.8B,5.11,1.73,1.1B,4.41,2.43B,0.52,1.19%,5.71B,0.09%,82.46%,"Corteva, Inc. (CTVA)",2.06B,5.93%,53.06%,4.79%,18.99,742.23M,7.64M,743.46M,2.02,1.03%,1.03%
8.07B,9.74,4.32B,38.20%,16.70%,7.16%,27.81%,172.93B,0.98,33.55,14.42B,32.56,0.98,10.2B,66.62,10.38B,2.8,0.80%,21.93B,0.22%,70.04%,Costco Wholesale Corporation (COST),9.41B,3.70%,28.23%,2.50%,390.73,441.68M,3.63M,442.96M,1.45,0.82%,0.82%
3.56B,2.35,999M,287.80%,11.00%,3.15%,10.59%,5.84B,3.51,21.95,232M,0.54,0.56,25.42B,268.65,1.04B,5.32,3.28%,3.87B,0.41%,92.76%,Crown Castle International Corp. (REIT) (CCI),3.06B,33.34%,209.79%,18.08%,13.81,428.82M,4.02M,431.3M,1.9,1.07%,0.93%
5.79B,3.60,2.76B,-1.40%,-2.10%,7.07%,22.14%,10.58B,1.56,17.18,3.13B,4.11,2.20,17.21B,131.24,1.81B,1.04,1.17%,5.75B,0.11%,76.66%,CSX Corporation (CSX),4.26B,41.69%,28.89%,26.13%,13.82,761.51M,8.34M,762.51M,1.96,1.10%,1.09%
2.58B,12.01,1.79B,67.00%,4.50%,5.64%,20.75%,19.81B,2.86,54.60,3.86B,26.16,1.88,4.66B,51.82,1.46B,5.4,2.22%,4.89B,0.32%,85.28%,Cummins Inc. (CMI),2.72B,9.65%,43.99%,9.03%,133.68,147.01M,2.73M,148.01M,2.39,1.85%,1.85%
18.51B,6.05,7.95B,-20.00%,3.60%,3.89%,12.06%,265.28B,2.73,52.56,12.09B,9.23,0.95,87.27B,126.28,11.91B,2,2.72%,44.52B,0.17%,78.00%,CVS Health Corporation (CVS),14.93B,5.32%,33.06%,3.00%,202.97,1.31B,15.54M,1.31B,2.36,1.19%,1.19%
3.56B,7.40,2.73B,83.60%,47.60%,12.05%,23.57%,22.22B,1.13,34.33,2.39B,6.57,6.25,4.3B,33.69,309.11M,0.8,0.96%,4.62B,8.70%,84.14%,"D.R. Horton, Inc. (DHI)",1.28B,15.66%,9.81%,12.30%,60.97,331.92M,5.88M,363.7M,1.68,2.00%,1.62%
6.01B,4.89,3.51B,-2.70%,38.90%,3.83%,10.41%,22.28B,0.54,51.33,6.03B,8.49,1.87,21.2B,53.31,4.39B,0.72,0.30%,12.47B,11.28%,81.53%,Danaher Corporation (DHR),6.21B,18.99%,14.72%,16.36%,31.56,630.59M,4.92M,710.38M,1.81,0.78%,0.69%
438.2M,-0.92,-112.2M,288.70%,-19.40%,0.69%,-4.74%,6.8B,2.81,18.84,777.3M,5.96,0.72,5.77B,234.96,123.88M,1.48,1.15%,1.41B,0.78%,93.03%,"Darden Restaurants, Inc. (DRI)",699.9M,1.59%,N/A,-1.70%,53.76,129.76M,3.75M,130.33M,2.48,3.71%,2.88%
2.43B,6.68,832.13M,10.80%,0.70%,6.51%,30.61%,11.54B,N/A,13.84,729.87M,6.52,1.37,11.11B,363.27,1.17B,N/A,N/A,3.47B,2.95%,97.91%,DaVita Inc. (DVA),2.17B,15.57%,0.00%,7.32%,92.90,108.82M,2.59M,121.99M,4.36,3.55%,2.31%
5.45B,8.69,2.75B,5.10%,-1.70%,3.84%,22.59%,35.51B,1.96,41.25,6.83B,21.79,2.31,46.39B,358.40,2.32B,3.04,0.97%,8.96B,0.24%,81.16%,Deere & Company (DE),7.48B,12.81%,34.98%,7.75%,113.28,281.23M,2.22M,314.42M,1.37,0.79%,0.71%
-1.82B,-19.49,-12.39B,N/A,-65.30%,-3.88%,-148.23%,17.1B,2.31,2.13,14.1B,22.2,1.09,36.65B,"2,708.65",N/A,N/A,N/A,-4.13B,0.35%,61.37%,"Delta Air Lines, Inc. (DAL)",N/A,-24.80%,N/A,-72.45%,26.88,632.66M,13.4M,637.73M,1.06,2.11%,2.10%
629.3M,-0.36,-79.2M,-36.70%,-7.00%,2.21%,-1.61%,3.37B,0.68,21.79,1.27B,5.82,2.19,2.33B,48.96,794.84M,0.4,0.70%,2.19B,0.35%,100.62%,DENTSPLY SIRONA Inc. (XRAY),670.8M,9.04%,N/A,-2.35%,15.32,217.77M,2.7M,218.56M,1.97,1.41%,1.24%
1.38B,-8.57,-2.47B,N/A,-28.80%,-13.61%,-50.73%,4.34B,1.67,7.89,1.71B,4.46,2.04,4.55B,144.54,717M,0.44,2.23%,2.23B,0.63%,84.16%,Devon Energy Corporation (DVN),1.55B,-62.10%,N/A,-74.28%,11.50,329.26M,14.97M,673.11M,0.9,2.39%,2.22%
356.4M,2.42,231.1M,57.60%,26.40%,6.50%,20.42%,1.82B,N/A,15.62,2.6B,27.11,6.39,1.82B,121.29,62.46M,N/A,N/A,931.5M,0.38%,98.82%,"DexCom, Inc. (DXCM)",447.3M,17.20%,0.00%,12.69%,19.52,95.43M,3.76M,96.03M,3.96,3.94%,3.91%
2.17B,-26.84,-4.26B,N/A,-26.30%,2.16%,-33.55%,2.99B,N/A,60.51,92M,0.58,0.45,5.86B,54.92,-758.12M,1.5,2.24%,3.1B,0.94%,94.99%,"Diamondback Energy, Inc. (FANG)",2.6B,24.43%,N/A,-142.55%,18.83,156.91M,7.47M,157.97M,2.29,6.24%,4.73%
1.79B,2.17,534.74M,N/A,29.90%,1.22%,4.55%,3.55B,3.39,59.73,971.31M,3.47,0.82,14.32B,77.67,3.75B,4.48,3.09%,2.02B,0.30%,96.57%,"Digital Realty Trust, Inc. (DLR)",1.58B,16.04%,188.94%,17.88%,14.66,279.19M,6.46M,280.16M,3.63,2.64%,2.31%
N/A,3.60,1.1B,12.90%,35.80%,1.01%,10.03%,7.9B,2.20,35.45,25.7B,83.72,1.34,21.24B,195.16,N/A,1.76,1.90%,5.41B,0.53%,88.75%,Discover Financial Services (DFS),N/A,18.17%,48.89%,14.44%,25.73,304.96M,3.87M,307M,1.31,1.26%,1.26%
4.29B,1.80,1.27B,14.50%,-4.40%,5.57%,13.11%,10.66B,N/A,14.81,2.16B,0.65,1.99,15.49B,128.65,5.78B,N/A,N/A,7.39B,2.85%,130.64%,"Discovery, Inc. (DISCA)",3.42B,27.70%,0.00%,13.36%,17.28,2.22B,45.52M,160.47M,4.1,33.35%,9.27%
4.29B,1.80,1.27B,14.50%,-4.40%,5.57%,13.11%,10.66B,N/A,14.81,2.16B,0.65,1.99,15.49B,128.65,5.78B,N/A,N/A,7.39B,4.83%,87.63%,"Discovery, Inc. (DISCK)",3.42B,27.70%,0.00%,13.36%,17.28,2.22B,12.51M,324.17M,2.01,4.90%,2.55%
3.17B,2.45,1.42B,42.80%,43.00%,4.55%,12.71%,14.18B,N/A,24.13,2.8B,5.31,0.77,14.21B,106.67,691.26M,N/A,N/A,4.27B,14.19%,80.17%,DISH Network Corporation (DISH),3.35B,17.44%,0.00%,10.01%,27.31,245.47M,40.83M,287.57M,7.36,18.77%,7.76%
3.96B,10.10,2.55B,57.10%,17.30%,8.77%,37.37%,32.49B,1.03,28.51,2.2B,8.98,1.28,13.46B,192.70,2.44B,1.44,0.72%,8.49B,0.20%,95.10%,Dollar General Corporation (DG),3.96B,10.49%,13.86%,7.84%,129.63,244.43M,3.19M,245M,1.46,1.64%,1.30%
2.71B,4.05,962.1M,29.00%,7.50%,6.29%,14.71%,25.06B,N/A,29.60,1.12B,4.76,1.28,9.78B,140.55,1.29B,N/A,N/A,8.95B,1.34%,91.73%,"Dollar Tree, Inc. (DLTR)",2.59B,8.11%,0.00%,3.84%,105.77,232.09M,3.07M,235.19M,1.71,1.69%,1.31%
8.15B,-0.22,2.15B,-63.50%,-4.60%,3.16%,7.06%,16.72B,4.22,29.35,425M,0.52,1.13,38.93B,138.69,-7.14B,2.52,3.45%,7.97B,0.28%,69.79%,"Dominion Energy, Inc. (D)",6.3B,31.27%,139.98%,-0.44%,20.03,813.49M,7.83M,815.82M,2.2,0.96%,0.96%
727.31M,11.69,468.73M,14.80%,17.90%,30.88%,N/A,3.91B,0.86,-81.53,330.72M,8.39,1.96,4.34B,N/A,290.82M,3.12,0.82%,1.01B,0.74%,92.37%,"Domino's Pizza, Inc. (DPZ)",542.75M,17.57%,25.64%,11.98%,99.53,39.1M,1.32M,39.4M,2.38,4.37%,3.35%
1.21B,4.70,683.45M,8.30%,0.30%,6.54%,21.30%,6.68B,2.10,23.52,513.08M,3.56,1.51,3.11B,91.82,813.84M,1.98,1.62%,2.47B,0.89%,85.50%,Dover Corporation (DOV),1.1B,13.96%,41.91%,10.23%,46.40,143.23M,1.35M,144.1M,1.72,1.07%,0.93%
5.43B,1.64,1.22B,N/A,4.90%,2.71%,9.55%,38.54B,N/A,16.73,5.15B,6.92,1.72,19.23B,147.84,4.31B,2.8,4.86%,5.18B,0.09%,68.00%,Dow Inc. (DOW),6.23B,6.87%,170.73%,3.18%,52.05,742.92M,8.57M,743.92M,1.94,1.15%,1.15%
3.03B,7.07,1.36B,49.20%,5.30%,2.97%,11.66%,12.04B,3.16,63.67,945M,4.88,1.12,19.82B,158.73,-1.37B,4.34,3.56%,3.42B,0.58%,74.88%,DTE Energy Company (DTE),3.53B,16.36%,57.37%,11.30%,62.77,192.27M,1.73M,193.56M,1.94,1.16%,0.89%
11.05B,2.73,2.01B,-2.80%,-3.20%,2.21%,3.90%,23.77B,4.22,59.84,311M,0.42,0.52,65.62B,138.76,-965.88M,3.86,4.27%,11.56B,0.10%,64.65%,Duke Energy Corporation (DUK),9.34B,23.64%,138.69%,8.89%,32.38,734.92M,7.22M,735.96M,2.71,0.98%,0.98%
585.21M,0.81,298.36M,94.50%,15.30%,2.03%,5.87%,1B,2.72,13.88,6.31M,0.02,1.25,3.39B,64.67,N/A,0.98,2.34%,720.41M,0.12%,99.82%,Duke Realty Corporation (DRE),N/A,28.33%,162.07%,29.86%,2.71,371.31M,5.63M,371.95M,2.92,1.81%,1.51%
4.79B,-4.02,-2.9B,26.10%,0.90%,1.51%,-7.13%,20.4B,2.98,52.44,2.54B,3.46,2.32,21.81B,55.83,2.85B,1.2,1.71%,6.88B,0.09%,78.24%,"DuPont de Nemours, Inc. (DD)",4.1B,8.30%,N/A,-14.47%,27.73,733.02M,67.1M,536.44M,3.66,9.15%,9.14%
2.53B,-11.21,-2.85B,"1,239.00%",-14.60%,1.81%,-37.67%,18.16B,1.71,22.23,3.92B,15.39,1.10,7.8B,130.14,2.5B,N/A,N/A,4.68B,0.74%,86.81%,DXC Technology Company (DXC),692M,4.25%,N/A,-15.67%,71.52,252.49M,6.26M,254.59M,1.71,2.79%,2.46%
1.56B,3.50,478M,23.10%,-0.90%,N/A,8.02%,8.47B,2.82,44.86,650M,4.78,N/A,6.06B,98.36,N/A,2.76,2.59%,1.98B,0.56%,87.62%,Eastman Chemical Company (EMN),1.46B,11.61%,76.29%,5.64%,62.53,135.06M,1.68M,135.47M,1.84,1.40%,1.24%
2.63B,3.49,1.41B,5.10%,-10.50%,3.53%,9.10%,17.86B,3.23,37.45,1.1B,2.76,1.55,8.38B,55.99,N/A,2.92,2.44%,5.45B,0.18%,83.12%,Eaton Corporation plc (ETN),N/A,10.21%,83.67%,7.90%,44.40,397.7M,2.35M,398.6M,1.23,0.59%,0.59%
3.33B,7.89,2.54B,52.00%,28.30%,9.06%,79.05%,10.27B,N/A,5.21,3.83B,5.62,1.80,8.32B,233.56,1.56B,N/A,N/A,7.8B,3.66%,94.52%,eBay Inc. (EBAY),2.42B,26.45%,18.08%,55.18%,14.47,655.15M,19.43M,689.34M,2.43,2.99%,2.84%
3.04B,-3.74,1.2B,-47.00%,-6.40%,6.54%,16.55%,14.31B,1.06,21.07,1.03B,3.62,1.61,7.35B,121.50,2.09B,1.92,0.89%,6.22B,0.53%,88.36%,Ecolab Inc. (ECL),2.03B,14.23%,45.86%,-7.52%,49.75,253.12M,2.07M,285.44M,2.33,0.83%,0.73%
4.57B,0.96,356M,N/A,24.10%,2.60%,2.30%,13.39B,3.44,36.32,92M,0.24,0.68,22.85B,146.02,-2.62B,2.65,4.54%,6.74B,0.06%,90.97%,Edison International (EIX),1.58B,20.65%,277.17%,2.66%,36.34,378.12M,6.39M,378.51M,4.04,1.82%,1.69%
1.42B,1.30,823.4M,10.50%,1.50%,11.99%,18.88%,4.39B,N/A,7.34,1.4B,2.25,3.46,694.9M,15.19,N/A,N/A,N/A,3.31B,0.68%,87.59%,Edwards Lifesciences Corporation (EW),N/A,30.02%,0.00%,18.77%,7.05,618.42M,4.47M,623.25M,1.71,0.73%,0.72%
